STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
7	45	40	1544.0	27.7694175	1029
7	45	45	1548.0	27.518702	1053
7	45	50	1548.0	26.06989	989
7	45	55	1548.0	27.6254199	1053
7	45	60	3009.0	56.4370226	2239
7	45	65	3009.0	56.8091244	2239
7	45	70	3009.0	56.6479577	2239
7	45	75	3010.0	56.6146619	2232
7	45	80	3010.0	56.9936286	2232
7	50	30	1550.0	25.3570222	983
7	50	35	1547.0	26.954951	1025
7	50	40	1544.0	27.3605455	1029
7	50	45	1548.0	27.6070774	1053
7	50	50	1548.0	26.1904786	989
7	50	55	1548.0	27.6854627	1053
7	50	60	3009.0	56.5251288	2239
7	50	65	3009.0	56.4737167	2239
7	50	70	3009.0	56.5332989	2239
7	50	75	3010.0	56.9968509	2232
7	50	80	3010.0	56.9486938	2232
7	55	30	1551.0	26.2792555	1007
7	55	35	1551.0	26.3279305	1007
7	55	40	1551.0	26.3342679	1007
7	55	45	1551.0	26.2407864	1007
7	55	50	1551.0	26.3673697	1007
7	55	55	1551.0	26.4435275	1007
7	55	60	1551.0	26.2726437	1007
7	55	65	1551.0	26.280605	1007
7	55	70	1551.0	26.4967521	1007
7	55	75	1551.0	26.3652019	1007
7	55	80	1551.0	26.2507899	1007
7	60	30	1551.0	26.4188492	1007
7	60	35	1551.0	26.3734132	1007
7	60	40	1551.0	26.1842371	1007
7	60	45	1551.0	26.6633013	1007
7	60	50	1551.0	26.446385	1007
7	60	55	1551.0	26.3051973	1007
7	60	60	1551.0	26.296742	1007
7	60	65	1551.0	26.2787641	1007
7	60	70	1551.0	26.2999477	1007
7	60	75	1551.0	26.5296208	1007
7	60	80	1551.0	26.2678983	1007
7	65	30	1551.0	26.4916387	1007
7	65	35	1551.0	26.4326426	1007
7	65	40	1551.0	26.5632741	1007
7	65	45	1551.0	27.2634287	1007
7	65	50	1551.0	26.5346972	1007
7	65	55	1551.0	26.4757705	1007
7	65	60	1551.0	26.4756577	1007
7	65	65	1551.0	26.4056717	1007
7	65	70	1551.0	26.5419694	1007
7	65	75	1551.0	26.5754148	1007
7	65	80	1551.0	26.4672249	1007
7	70	30	1409.0	23.8459584	897
7	70	35	1409.0	24.0124944	897
7	70	40	1409.0	24.0292922	897
7	70	45	1409.0	23.8229371	897
7	70	50	1409.0	23.912213	897
7	70	55	1409.0	24.6295389	897
7	70	60	1409.0	23.5954679	897
7	70	65	1409.0	23.6670013	897
7	70	70	1409.0	23.6415598	897
7	70	75	1409.0	23.7141164	897
7	70	80	1409.0	23.76129	897
7	75	30	1409.0	23.7136198	897
7	75	35	1409.0	23.5654659	897
7	75	40	1409.0	23.5075044	897
7	75	45	1409.0	23.6643496	897
7	75	50	1409.0	23.5787746	897
7	75	55	1409.0	23.6270207	897
7	75	60	1409.0	23.7037283	897
7	75	65	1409.0	23.7680391	897
7	75	70	1409.0	23.6326846	897
7	75	75	1409.0	23.6639656	897
7	75	80	1409.0	23.7597295	897
7	80	30	1552.0	25.3464862	953
7	80	35	1545.0	29.0091283	1095
7	80	40	227.0	6.5821642	247
7	80	45	1552.0	25.0338424	953
7	80	50	1542.0	28.9009633	1101
7	80	55	1546.0	27.1475735	1029
7	80	60	1546.0	27.1621978	1029
7	80	65	1546.0	27.064087	1029
7	80	70	1546.0	27.1791613	1029
7	80	75	1546.0	27.1028151	1029
7	80	80	1546.0	27.0393133	1029
8	30	30	1548.0	24.9673222	1033
8	30	35	1546.0	25.5912923	1053
8	30	40	1546.0	25.795127	1053
8	30	45	1546.0	25.6016164	1053
8	30	50	1539.0	25.9090893	1065
8	30	55	1886.0	30.5170049	1281
8	30	60	1547.0	23.4327478	963
8	30	65	3009.0	52.0760053	2258
8	30	70	3011.0	51.8577844	2218
8	30	75	3011.0	52.0299687	2218
8	30	80	1507.0	24.9051605	1021
8	35	30	1545.0	25.6491745	1061
8	35	35	1546.0	25.5693168	1053
8	35	40	1546.0	25.4177514	1053
8	35	45	1546.0	25.5394241	1053
8	35	50	1539.0	25.7379071	1065
8	35	55	1886.0	30.4804776	1281
8	35	60	3014.0	49.5965631	2145
8	35	65	3014.0	49.8442728	2145
8	35	70	3014.0	49.8131978	2145
8	35	75	3014.0	49.7757333	2145
8	35	80	1509.0	24.1662907	1001
8	40	30	1552.0	22.6454901	937
8	40	35	1546.0	25.4269799	1053
8	40	40	1546.0	25.40142	1053
8	40	45	1546.0	25.3430968	1053
8	40	50	1539.0	25.6775633	1065
8	40	55	1539.0	24.8804702	1043
8	40	60	1539.0	24.8634712	1043
8	40	65	1539.0	24.7607488	1043
8	40	70	1881.0	31.8820248	1343
8	40	75	3014.0	49.530979	2145
8	40	80	1509.0	24.0153232	1001
8	45	30	1552.0	22.7479567	937
8	45	35	1547.0	24.8157701	1039
8	45	40	1547.0	24.9766288	1039
8	45	45	1547.0	24.8990882	1039
8	45	50	1538.0	25.4963071	1051
8	45	55	1539.0	25.3781586	1043
8	45	60	1539.0	24.7719503	1043
8	45	65	1539.0	24.7337127	1043
8	45	70	1881.0	31.7043251	1343
8	45	75	3016.0	49.0699142	2113
8	45	80	1509.0	24.1440705	1001
8	50	30	1403.0	20.8960798	865
8	50	35	1403.0	20.929516	865
8	50	40	1403.0	20.9068957	865
8	50	45	1403.0	20.8897169	865
8	50	50	1403.0	20.9681295	865
8	50	55	1403.0	20.8145881	865
8	50	60	1403.0	20.9120903	865
8	50	65	1403.0	20.894945	865
8	50	70	1403.0	20.9339259	865
8	50	75	1403.0	20.9976758	865
8	50	80	1403.0	20.8763474	865
8	55	30	1403.0	20.847878	865
8	55	35	1403.0	20.7785191	865
8	55	40	1403.0	20.7580089	865
8	55	45	1403.0	20.7685665	865
8	55	50	1403.0	20.7741955	865
8	55	55	1403.0	20.8511874	865
8	55	60	1403.0	20.7356875	865
8	55	65	1403.0	20.7141828	865
8	55	70	1403.0	20.7038516	865
8	55	75	1403.0	20.8177522	865
8	55	80	1403.0	20.8627928	865
8	60	30	1403.0	20.7011866	865
8	60	35	1403.0	20.6933276	865
8	60	40	1403.0	20.8819127	865
8	60	45	1403.0	20.7513997	865
8	60	50	1403.0	20.7338028	865
8	60	55	1403.0	20.8637478	865
8	60	60	1403.0	20.8331675	865
8	60	65	1403.0	20.7719295	865
8	60	70	1403.0	20.7130825	865
8	60	75	1403.0	20.7087006	865
8	60	80	1403.0	20.9007934	865
8	65	30	1403.0	20.7778511	865
8	65	35	1403.0	20.7956521	865
8	65	40	1403.0	21.2520321	865
8	65	45	1403.0	20.9175977	865
8	65	50	1403.0	20.6880636	865
8	65	55	1403.0	20.9525183	865
8	65	60	1403.0	20.7129391	865
8	65	65	1403.0	20.8147066	865
8	65	70	1403.0	20.6622962	865
8	65	75	1403.0	20.7181509	865
8	65	80	1403.0	20.7386888	865
8	70	30	1419.0	20.8610111	877
8	70	35	1419.0	20.9652955	877
8	70	40	1419.0	20.9628909	877
8	70	45	1419.0	21.048891	877
8	70	50	1419.0	20.8343387	877
8	70	55	1419.0	20.9620814	877
8	70	60	1419.0	20.9693062	877
8	70	65	1419.0	20.8916472	877
8	70	70	1419.0	20.9840054	877
8	70	75	1419.0	21.1792424	877
8	70	80	1419.0	20.9670633	877
8	75	30	1413.0	20.8142104	871
8	75	35	1413.0	20.8302233	871
8	75	40	1413.0	20.8631059	871
8	75	45	1413.0	20.9134036	871
8	75	50	1413.0	20.8570941	871
8	75	55	1413.0	20.9582886	871
8	75	60	1413.0	20.9825635	871
8	75	65	1413.0	20.9198658	871
8	75	70	1413.0	20.9440474	871
8	75	75	1413.0	20.957642	871
8	75	80	1413.0	20.8766301	871
8	80	30	1413.0	20.9859158	871
8	80	35	1413.0	21.0323115	871
8	80	40	1413.0	20.861949	871
8	80	45	1413.0	20.9610232	871
8	80	50	1413.0	21.0135025	871
8	80	55	1413.0	20.8627284	871
8	80	60	1413.0	20.9826124	871
8	80	65	1413.0	20.9500065	871
